key,type,encoding,value
SPN702,data,string,Auxiliary I/O #02
SPN703,data,string,Auxiliary I/O #03
SPN704,data,string,Auxiliary I/O #04
SPN705,data,string,Auxiliary I/O #05
SPN706,data,string,Auxiliary I/O #06
SPN707,data,string,Auxiliary I/O #07
SPN708,data,string,Auxiliary I/O #08
SPN709,data,string,Auxiliary I/O #09
SPN710,data,string,Auxiliary I/O #10
SPN711,data,string,Auxiliary I/O #11
SPN712,data,string,Auxiliary I/O #12
SPN713,data,string,Auxiliary I/O #13
SPN714,data,string,Auxiliary I/O #14
SPN715,data,string,Auxiliary I/O #15
SPN716,data,string,Auxiliary I/O #16
SPN717,data,string,Autoshift High Gear Actuator
SPN718,data,string,Autoshift Low Gear Actuator
SPN719,data,string,Autoshift Neutral Actuator
SPN720,data,string,Autoshift Common Low Side (Return)
SPN721,data,string,Prestroke Sensor
SPN722,data,string,Prestroke Actuator
SPN723,data,string,Engine Speed 2
SPN724,data,string,O2 Sensor
SPN725,data,string,Engine Ignition Control Mode Signal
SPN726,data,string,Engine Ignition Control Timing Signal
SPN727,data,string,Engine Turbocharger Secondary Intake Pressure
SPN728,data,string,Engine Oil Cooler Coolant Outlet Temperature
SPN729,data,string,Engine Intake Air Heater Driver #1
SPN730,data,string,Engine Intake Air Heater Driver #2
SPN731,data,string,Engine Knock 1
SPN732,data,string,Engine Gas Metering Valve
SPN733,data,string,Engine Rack  Sensor
SPN734,data,string,Transmission Range Clutch C1 Solenoid
SPN735,data,string,Transmission Range Clutch C2 Solenoid
SPN736,data,string,Transmission Range Clutch C3 Solenoid
SPN737,data,string,Transmission Range Clutch C4 Solenoid
SPN738,data,string,Transmission Range Clutch C5 Solenoid
SPN739,data,string,Transmission Range Clutch C6 Solenoid
SPN740,data,string,Transmission Torque Converter Lockup Clutch Actuator
SPN741,data,string,Transmission 1 Forward Solenoid Valve
SPN742,data,string,Transmission Low Signal Solenoid Valve
SPN743,data,string,Retarder Enable Solenoid Valve
SPN744,data,string,Retarder Modulation Solenoid Valve
SPN745,data,string,Retarder Response Solenoid Valve
SPN746,data,string,Differential Lock Solenoid Valve #1
SPN747,data,string,Engine/Transmission Match
SPN748,data,string,Transmission Output Retarder
SPN749,data,string,Transmission Neutral Start Output
SPN750,data,string,Transmission Turbine Speed Sensor
SPN751,data,string,Transmission Primary Shift Selector
SPN752,data,string,Transmission Secondary Shift Selector
SPN753,data,string,Transmission Special Function Inputs
SPN754,data,string,Transmission Range C1 Clutch Pressure Indicator
SPN755,data,string,Transmission Range C2 Clutch Pressure Indicator
SPN756,data,string,Transmission Range C3 Clutch Pressure Indicator
SPN757,data,string,Transmission Range C4 Clutch Pressure Indicator
SPN758,data,string,Transmission Range C5 Clutch Pressure Indicator
SPN759,data,string,Transmission Range C6 Clutch Pressure Indicator
SPN760,data,string,Transmission Lockup Clutch Pressure Indicator (Obsolete    Use SPN 3184)
SPN761,data,string,Transmission Forward Range Pressure Indicator
SPN762,data,string,Transmission Neutral Range Pressure Indicator
SPN763,data,string,Transmission Reverse Range Pressure Indicator
SPN764,data,string,Retarder Response System Pressure Indicator
SPN765,data,string,Differential Lock Clutch Pressure Indicator
SPN766,data,string,Transmission Multiple Pressure Indicators
SPN767,data,string,Transmission Reverse Direction Switch
SPN768,data,string,Transmission Range High Actuator
SPN769,data,string,Transmission Range Low Actuator
SPN770,data,string,Transmission Splitter Direct Actuator
SPN771,data,string,Transmission Splitter Indirect Actuator
SPN772,data,string,Transmission Shift Finger Rail Actuator 1
SPN773,data,string,Transmission Shift Finger Gear Actuator 1
SPN774,data,string,Transmission Upshift Request Switch
SPN775,data,string,Transmission Downshift Request Switch
SPN776,data,string,Torque Converter Interrupt Actuator
SPN777,data,string,Torque Converter Lockup Actuator (Obsolete    Use 740)
SPN778,data,string,Transmission High Range Sense Switch
SPN779,data,string,Transmission Low Range Sense Switch
SPN780,data,string,Transmission Shift Finger Neutral Indicator
SPN781,data,string,Transmission Shift Finger Engagement Indicator
SPN782,data,string,Transmission Shift Finger Center Rail Indicator
SPN783,data,string,Transmission Shift Finger Rail Actuator 2
SPN784,data,string,Transmission Shift Finger Gear Actuator 2
SPN785,data,string,Transmission Hydraulic System
SPN786,data,string,Transmission Defuel Actuator
SPN787,data,string,Transmission Inertia Brake Actuator
SPN788,data,string,Transmission Clutch Actuator
SPN789,data,string,Wheel Sensor ABS Axle 1 Left
SPN790,data,string,Wheel Sensor ABS Axle 1 Right
SPN791,data,string,Wheel Sensor ABS Axle 2 Left
SPN792,data,string,Wheel Sensor ABS Axle 2 Right
SPN793,data,string,Wheel Sensor ABS Axle 3 Left
SPN794,data,string,Wheel Sensor ABS Axle 3 Right
SPN795,data,string,Pressure Modulation Valve ABS Axle 1 Left
SPN796,data,string,Pressure Modulation Valve ABS Axle 1 Right
SPN797,data,string,Pressure Modulation Valve ABS Axle 2 Left
SPN798,data,string,Pressure Modulation Valve ABS Axle 2 Right
SPN799,data,string,Pressure Modulation Valve ABS Axle 3 Left
SPN800,data,string,Pressure Modulation Valve ABS Axle 3 Right
SPN801,data,string,Retarder Control Relay
SPN802,data,string,Relay Diagonal 1
SPN803,data,string,Relay Diagonal 2
SPN804,data,string,Mode Switch ABS
SPN805,data,string,Mode Switch ASR
SPN806,data,string,Dif 1    ASR Valve
SPN807,data,string,Dif 2    ASR Valve
SPN808,data,string,Pneumatic Engine Control
SPN809,data,string,Electronic Engine Control (Servomotor)
SPN810,data,string,Speed Signal Input
SPN811,data,string,Warning Light Bulb
SPN812,data,string,ASR Light Bulb
SPN813,data,string,Wheel Sensor ABS Axle 1 Average
SPN814,data,string,Wheel Sensor ABS Axle 2 Average
SPN815,data,string,Wheel Sensor ABS Axle 3 Average
